Name of our product,Price,Link
Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 4GB DDR4 1000GB HDD + 256GB SSD DOS Black,39900 сом,https://www.kivano.kg//images/product/104985/1648669665_16624100.jpg
Ноутбук Lenovo Ideapad L3-15ITL6 Intel Celeron 6305 4GB DDR 1000GB HDD Intel HD Graphics FHD DOS серый,33100 сом,https://www.kivano.kg//images/product/102170/1641274990_49281900.jpg
Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 8GB DDR4 1000GB HDD + 256GB SSD DOS Black,41660 сом,https://www.kivano.kg//images/product/104986/1648669674_42294000.jpg
Ноутбук Lenovo Ideapad L3-15ITL6 Intel Celeron 6305 4GB DDR 500GB HDD Intel HD Graphics FHD DOS серый,32920 сом,https://www.kivano.kg//images/product/102171/1641275093_65085800.jpg
Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 12GB DDR4 1000GB HDD + 256GB SSD DOS Black,45460 сом,https://www.kivano.kg//images/product/104987/1648669684_69834900.jpg
Ноутбук Lenovo Ideapad L3-15ITL6 Intel Celeron 6305 8GB DDR 128GB SSD Intel HD Graphics FHD DOS серый,35040 сом,https://www.kivano.kg//images/product/102172/1641275337_62284600.jpg
Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 8GB DDR4 1000GB HDD + 512GB SSD DOS Black,43690 сом,https://www.kivano.kg//images/product/104988/1648669697_88805500.jpg
Ноутбук Lenovo Ideapad L3-15ITL6 Intel Celeron 6305 8GB DDR 256GB SSD Intel HD Graphics FHD DOS серый,35930 сом,https://www.kivano.kg//images/product/102173/1641275425_86569600.jpg
Ноутбук Lenovo Ideapad 15ADA05 AMD Ryzen 3 3250U 4GB DDR4 500GB HDD DOS Black,37070 сом,https://www.kivano.kg//images/product/104989/1648672848_66009700.jpg
Ноутбук Lenovo Ideapad L3-15ITL6 Intel Celeron 6305 8GB DDR 1000GB HDD Intel HD Graphics FHD DOS серый,35040 сом,https://www.kivano.kg//images/product/102174/1641275516_99668800.jpg
Ноутбук Lenovo Ideapad 15ADA05 AMD Ryzen 3 3250U 8GB DDR4 500GB HDD DOS Black,38850 сом,https://www.kivano.kg//images/product/104990/1648672865_28166000.jpg
Ноутбук Acer A315-34 Intel Pentium N5030 4GB DDR4 500GB HDD DOS,33120 сом,https://www.kivano.kg//images/product/97823/1631702188_65410100.jpg
Ноутбук HP 250 G8 Intel Core i3-1005G1 8GB DDR 256GB SSD Intel HD Graphics 620 FHD DOS серый,46340 сом,https://www.kivano.kg//images/product/101407/1639731294_15440800.jpg
Ноутбук Lenovo Ideapad L3-15ITL6 Intel Celeron 6305 8GB DDR 500GB HDD Intel HD Graphics FHD DOS серый,34870 сом,https://www.kivano.kg//images/product/102175/1641275669_97783100.jpg
Ноутбук Lenovo Ideapad V14 Intel Celeron N4020 4GB DDR4 500GB HDD DOS Iron Gray,24960 сом,https://www.kivano.kg//images/product/104479/1647666651_55322500.jpg
Ноутбук Lenovo Ideapad 15ADA05 AMD Ryzen 3 3250U 4GB DDR4 1000GB HDD DOS Black,37250 сом,https://www.kivano.kg//images/product/104991/1648672877_28719400.jpg
Ноутбук Acer A315-34 Intel Pentium N5030 8GB DDR4 500GB HDD DOS,32300 сом,https://www.kivano.kg//images/product/97824/1631702201_07843100.jpg
Ноутбук Acer A315-57G-537C Intel Core i5-1035G 4GB DDR4 1000GB HDD + 240GB SSD NVIDIA MX330 FHD DOS Black,60870 сом,https://www.kivano.kg//images/product/102688/1642649996_37678400.png
Ноутбук Lenovo Ideapad V14 Intel Celeron N4020 4GB DDR4 1000GB HDD DOS Iron Gray,25130 сом,https://www.kivano.kg//images/product/104480/1647666676_05053000.jpg
Ноутбук Lenovo Ideapad 15ADA05 AMD Ryzen 3 3250U 8GB DDR4 1000GB HDD DOS Black,39020 сом,https://www.kivano.kg//images/product/104992/1648672886_84230600.jpg
Ноутбук Acer A315-34 Intel Pentium N5030 4GB DDR4 1000GB HDD DOS,30450 сом,https://www.kivano.kg//images/product/97825/1631702211_53098300.jpg
Ноутбук Lenovo V14-82C2 Intel Celeron N4020 4GB DDR 1000GB HDD Intel UHD Graphics 620 HD DOS серый,28680 сом,https://www.kivano.kg//images/product/101409/1639732488_89438800.png
Ноутбук Lenovo Ideapad V14 Intel Celeron N4020 4GB DDR4 128GB SSD DOS Iron Gray,24960 сом,https://www.kivano.kg//images/product/104481/1647666698_68887100.jpg
Ноутбук Lenovo Ideapad 15ADA05 AMD Ryzen 3 3250U 4GB DDR4 500GB HDD + 128GB SSD DOS Black,38850 сом,https://www.kivano.kg//images/product/104993/1648672897_09542800.jpg
Ноутбук Acer A315-34 Intel Pentium N5030 8GB DDR4 1000GB HDD DOS,31600 сом,https://www.kivano.kg//images/product/97826/1631702223_11631800.jpg
Ноутбук Lenovo Ideapad V14 Intel Celeron N4020 4GB DDR4 256GB SSD DOS Iron Gray,25670 сом,https://www.kivano.kg//images/product/104482/1647666722_78236500.jpg
Ноутбук Lenovo Ideapad 15ADA05 AMD Ryzen 3 3250U 8GB DDR4 500GB HDD + 128GB SSD DOS Black,40600 сом,https://www.kivano.kg//images/product/104994/1648672906_60064900.jpg
Ноутбук Acer A315-34 Intel Pentium N5030 4GB DDR4 128GB SSD DOS,30000 сом,https://www.kivano.kg//images/product/97827/1631702234_29144000.jpg
Ноутбук Dell Inspiron 14 7000 series 7415 AMD Ryzen 5 5500U 8GB DDR 256GB SSD AMD Radeon Graphics FHD WIN10 синий,74930 сом,https://www.kivano.kg//images/product/99363/1634191798_27352800.jpg
Ноутбук Lenovo Ideapad 15IGL05 Intel Celeron N4020 4GB DDR4 500GB HDD DOS Platinum Gray,26820 сом,https://www.kivano.kg//images/product/104483/1647671794_25120600.jpg
Ноутбук Lenovo Ideapad 15ADA05 AMD Ryzen 3 3250U 4GB DDR4 500GB HDD + 256GB SSD DOS Black,39720 сом,https://www.kivano.kg//images/product/104995/1648672918_76368000.jpg
Ноутбук Acer A315-34 Intel Pentium N5030 8GB DDR4 128GB SSD DOS,32490 сом,https://www.kivano.kg//images/product/97828/1631702246_18528600.jpg
Ноутбук Lenovo V14-82C2 Intel Celeron N4020 4GB DDR 480GB SSD Intel UHD Graphics 620 HD DOS серый,30890 сом,https://www.kivano.kg//images/product/101412/1639733056_10441400.png
Ноутбук Lenovo Ideapad 15IGL05 Intel Celeron N4020 4GB DDR4 240GB SSD DOS Platinum Gray,28060 сом,https://www.kivano.kg//images/product/104484/1647671809_19449300.jpg
Ноутбук Lenovo Ideapad 15ADA05 AMD Ryzen 3 3250U 8GB DDR4 500GB HDD + 256GB SSD DOS Black,41490 сом,https://www.kivano.kg//images/product/104996/1648672929_59900400.jpg
Ноутбук Acer A315-34 Intel Pentium N5030 4GB DDR4 256GB SSD DOS,30890 сом,https://www.kivano.kg//images/product/97829/1631702258_45225100.jpg
Ноутбук Asus X543MA-DM1140 Intel Pentium N5030 4GB DDR4 128GB SSD Intel UHD Graphics 605 FHD DOS серый,38850 сом,https://www.kivano.kg//images/product/103717/1645777693_21137300.jpg
Ноутбук Lenovo Ideapad 15IGL05 Intel Celeron N4020 4GB DDR4 500GB SSD DOS Platinum Gray,30000 сом,https://www.kivano.kg//images/product/104485/1647671817_80632300.jpg
Ноутбук Lenovo Ideapad 15ADA05 AMD Ryzen 3 3250U 4GB DDR4 1000GB HDD + 128GB SSD DOS Black,39020 сом,https://www.kivano.kg//images/product/104997/1648672941_29393000.jpg
Ноутбук Acer A315-34 Intel Pentium N5030 8GB DDR4 256GB SSD DOS,32920 сом,https://www.kivano.kg//images/product/97830/1631702270_43545500.jpg
Ноутбук Lenovo Ideapad 15ADA05 AMD Ryzen 3 3250U 8GB DDR4 1000GB HDD + 128GB SSD DOS Black,40780 сом,https://www.kivano.kg//images/product/104998/1648672957_02606700.jpg
